path,sample,time_s,radius_m,angle_deg,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
quarter_circle_workspace,12387,54.09170305676856,0.20400000000000001,11.0,-0.11974805457667653,-0.28107496494318485,-0.11974812290673198,-0.28107489310216854,0.0,93.04650875160318,-130.39434734673512,21.495315674024916,1.3627304496637682,-0.9234179331474593,2.299507641433913
quarter_circle_workspace,12388,54.09606986899563,0.20400000000000001,12.0,-0.12045788945030364,-0.2775860150731771,-0.12045794868246558,-0.27758595266449226,0.0,93.82662994287878,-130.8797868900503,22.697415606486686,1.3904711696301228,-0.844402936488635,2.186987315337477
quarter_circle_workspace,12389,54.1004366812227,0.20400000000000001,13.0,-0.121228506783812,-0.2741099849138515,-0.12122857674602404,-0.2741099180079192,2.0816681711721685e-17,94.62367194785665,-131.30027078381858,23.755293276023764,1.4021153141568912,-0.7905813008276987,2.1104187642854737
quarter_circle_workspace,12390,54.10480349344978,0.20400000000000001,14.0,-0.12205967183969671,-0.2706479332976678,-0.12205973034525422,-0.27064787666600654,0.0,95.38716911526386,-131.76134539373103,24.933883302313998,1.518030065940197,-0.6305587693453224,1.827365259943508
quarter_circle_workspace,12391,54.109170305676855,0.20400000000000001,14.999999999999998,-0.12295113143703007,-0.26720091479908575,-0.12295119838934561,-0.26720085539468325,-1.3877787807814457e-17,96.17140954469001,-132.15828793692913,25.96476934493056,1.5002738591173082,-0.6129694578139866,1.772041141745626
quarter_circle_workspace,12392,54.113537117903924,0.20400000000000001,16.0,-0.12390261402858294,-0.2637699794133322,-0.12390268418242104,-0.2637699207309765,0.0,96.94468248736608,-132.5539274387713,27.00789396857988,1.3748001905939933,-0.7561250016130423,2.049261312621668
quarter_circle_workspace,12393,54.117903930131,0.20400000000000001,17.0,-0.12491382978354076,-0.2603561722365617,-0.12491389999895094,-0.2603561161060212,-1.3877787807814457e-17,97.71053586096768,-132.9419568084283,28.046750347202487,1.4112097912032069,-0.6881188076247348,1.9378774904545835
quarter_circle_workspace,12394,54.122270742358076,0.20400000000000001,18.0,-0.12598447067578866,-0.2569605331475107,-0.1259845391376313,-0.2569604804535254,6.938893903907228e-18,98.47135946065916,-133.3190412872632,29.071938420145145,1.5507149088746337,-0.5275036411916211,1.633161330509281
quarter_circle_workspace,12395,54.12663755458515,0.20400000000000001,18.999999999999996,-0.12711421057773936,-0.25358409649074004,-0.12711427624166316,-0.2535840476056427,6.938893903907228e-18,99.22889633582494,-133.6834289146285,30.077880356215026,1.6621223426662428,-0.3963999221484039,1.3431034848252006
quarter_circle_workspace,12396,54.13100436681223,0.20400000000000001,20.0,-0.12830270535967467,-0.2502278907615636,-0.12830278325193684,-0.25022783818187416,6.938893903907228e-18,100.00840491572391,-134.00063981368945,30.966300541228765,1.5092014383071295,-0.5372805853850834,1.5932451502156517
quarter_circle_workspace,12397,54.135371179039296,0.20400000000000001,21.0,-0.12954959299457083,-0.24689293829275874,-0.12954967574123238,-0.24689288596411219,6.938893903907228e-18,100.77744309237418,-134.3196840819382,31.872295141467045,1.401043762779752,-0.6361476461651524,1.8047640683686723
quarter_circle_workspace,12398,54.13973799126637,0.20400000000000001,22.0,-0.13085449366837537,-0.24358025494315394,-0.13085457635401532,-0.24358020511376818,6.938893903907228e-18,101.54074449367377,-134.6337516655443,32.77681912051497,1.456629376745178,-0.5658081047611613,1.6761786764802011
quarter_circle_workspace,12399,54.14410480349345,0.20400000000000001,22.999999999999996,-0.13221700989570215,-0.24029084978818815,-0.13221708947954847,-0.2402908036102092,-1.3877787807814457e-17,102.30156320667345,-134.9388978038279,33.66815878057617,1.6223160784045094,-0.4112120054124352,1.3570243999369864
quarter_circle_workspace,12400,54.148471615720524,0.20400000000000001,24.0,-0.13363672664090942,-0.23702572481253675,-0.13363680133737715,-0.23702568278025438,0.0,103.06224438879092,-135.2328631423742,34.53896213879623,1.7613617095177456,-0.28031377196203466,1.0433311842582274
quarter_circle_workspace,12401,54.15283842794759,0.20400000000000001,25.0,-0.1351132114445234,-0.2337858746048973,-0.13511329641121633,-0.2337858309581242,0.0,103.85114716056003,-135.48340619564266,35.29086892474285,1.6112092602152595,-0.3999562187407312,1.2600567699202927
quarter_circle_workspace,12402,54.15720524017467,0.20400000000000001,26.0,-0.1366460145549699,-0.2305722860550282,-0.13664610246915632,-0.23057224368162832,0.0,104.6333417155267,-135.73384561612565,36.05175996781623,1.4950383374770517,-0.49410202957283156,1.4656020126173954
quarter_circle_workspace,12403,54.161572052401745,0.20400000000000001,27.0,-0.13823466906557294,-0.22738593805313245,-0.138234754727655,-0.22738589863676711,1.3877787807814457e-17,105.41305583127267,-135.97930952434433,36.80686590837753,1.6808858009136218,-0.34173302811868145,1.137084409654571
quarter_circle_workspace,12404,54.16593886462882,0.20400000000000001,28.0,-0.1398786910567789,-0.2242278011916783,-0.13987877108341065,-0.22422776558089674,-1.3877787807814457e-17,106.19341145358662,-136.21668207503677,37.546174720473616,1.8448133772896051,-0.20684594519890281,0.8014830255163035
quarter_circle_workspace,12405,54.17030567685589,0.20400000000000001,29.000000000000004,-0.14157757974356328,-0.22109883746974723,-0.1415776684148921,-0.2210988015271617,0.0,107.00495056797403,-136.4148129476291,38.170322514312375,1.7064172441069567,-0.30643603409280507,0.9835520778320561
quarter_circle_workspace,12406,54.174672489082965,0.20400000000000001,29.999999999999996,-0.1433308176279745,-0.21800000000000003,-0.14333090759748088,-0.21799996584718778,1.3877787807814457e-17,107.81245071335657,-136.61215403867612,38.79858872280344,1.58610134364618,-0.3959386379321476,1.1832787502781263
quarter_circle_workspace,12407,54.17903930131004,0.20400000000000001,31.0,-0.14513787065676909,-0.21493223271834894,-0.14513795634758753,-0.21493220162365528,-1.3877787807814457e-17,108.61937962429981,-136.80520613453055,39.41977052019015,1.6388555360719774,-0.35113424237131496,1.0823840401636908
quarter_circle_workspace,12408,54.18340611353712,0.20400000000000001,32.0,-0.1469981883840891,-0.2118964700964262,-0.14699826596351687,-0.21189644267959737,0.0,109.42850443949825,-136.99148039468278,40.0254874148031,1.800016158833654,-0.236068123141649,0.8095349739665009
quarter_circle_workspace,12409,54.187772925764186,0.20400000000000001,33.0,-0.1489112041391335,-0.20889363685693446,-0.14891127128406717,-0.20889361329911313,-1.3877787807814457e-17,110.24206176314325,-137.16922103998792,40.60943564154554,1.9490256733832798,-0.1284422280388932,0.518524711047567
quarter_circle_workspace,12410,54.19213973799126,0.20400000000000001,34.0,-0.15087633519877147,-0.2059246476919676,-0.15087642545138297,-0.20592465033186327,0.0,111.0869892353823,-137.31404239600118,41.08961153366599,1.8328212249102278,-0.20417267056505023,0.6548165597042438
quarter_circle_workspace,12411,54.19650655021834,0.20400000000000001,35.0,-0.15289298296504567,-0.20299040698438658,-0.15289306783940484,-0.20299041184844369,0.0,111.93221389495362,-137.45590276330472,41.56398022323481,1.7250690098906571,-0.2773086456045163,0.8184810068720008
quarter_circle_workspace,12412,54.200873362445414,0.20400000000000001,36.0,-0.1549605331475107,-0.2000918085323355,-0.1549606090076229,-0.20009181551691588,0.0,112.77998461352115,-137.59292149910618,42.025972803819535,1.7673790265535445,-0.2464214550945768,0.7382042875736783
quarter_circle_workspace,12413,54.20524017467249,0.20400000000000001,37.0,-0.15707835595035224,-0.19722973527698215,-0.15707842074963574,-0.19722974407731492,1.3877787807814457e-17,113.63224014754095,-137.7236002091253,42.47016048051288,1.8086313505298397,-0.21719746830077646,0.6566643031472839
quarter_circle_workspace,12414,54.20960698689956,0.20400000000000001,37.99999999999999,-0.1592458062642287,-0.19440505903356572,-0.159245859464073,-0.19440506927695306,-1.3877787807814457e-17,114.49066349562314,-137.84675869675326,42.8920496918432,1.8490619227177099,-0.18939726154564807,0.5740235456938677
quarter_circle_workspace,12415,54.213973799126634,0.20400000000000001,39.0,-0.16146222386277792,-0.19161864022583316,-0.16146226627005555,-0.19161865158719601,0.0,115.35671763089388,-137.96147135945876,43.28791605897141,1.8888032195689042,-0.16277602161903482,0.4904328599869788
