sample,time_s,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
76,1.52,0.2864,0.0,0.2864,-2.7755575615628914e-17,6.938893903907228e-18,54.63261945457654,-82.64570015141355,-1.9869193031630006,-0.2247369781012891,0.4123534636664349,-0.1884290062907862
77,1.54,0.2878,0.0,0.2878,-1.3877787807814457e-17,0.0,54.121021142089305,-81.70537433279972,-2.4156468092895813,-0.22623882732482173,0.416631279113214,-0.19124959103223071
78,1.56,0.2892,0.0,0.28920000000000007,-1.3877787807814457e-17,-1.3877787807814457e-17,53.6061670021981,-80.75540491533476,-2.850762086863326,-0.22781986941560023,0.4210601553646181,-0.19414413327227376
79,1.58,0.2906,0.0,0.2906,5.551115123125783e-17,0.0,53.087884350503316,-79.79545532637906,-3.292429024124238,-0.22948417287613537,0.42564940019523395,-0.19711806230608228
80,1.6,0.29200000000000004,0.0,0.2920000000000001,6.938893903907228e-18,-1.3877787807814457e-17,52.565991976661465,-78.82516844718099,-3.7408235294804677,-0.2312361835068454,0.43040910797483417,-0.2001772366990488
81,1.62,0.2934,0.0,0.29339999999999994,-6.245004513516506e-17,0.0,52.040299363857194,-77.8441648966078,-4.19613446724941,-0.23308076637645672,0.43535024889688734,-0.20332799430061924
82,1.6400000000000001,0.2948,0.0,0.29479999999999995,1.1102230246251565e-16,0.0,51.51060582370934,-76.85204112218588,-4.6585647015234315,-0.2350232538299531,0.44048477079205406,-0.20657720925947495
83,1.6600000000000001,0.2962,0.0,0.2961999999999999,9.71445146547012e-17,2.7755575615628914e-17,50.976699534692344,-75.84836727156915,-5.128332263123173,-0.2370695005766779,0.4458257156842704,-0.20993235724371806
84,1.68,0.2976,0.0,0.2976,-8.326672684688674e-17,-1.3877787807814457e-17,50.43835647014107,-74.83268481299385,-5.605671657147242,-0.23922594711565706,0.4513873536841955,-0.21340159031391936
85,1.7,0.299,0.0,0.29900000000000004,6.245004513516506e-17,-1.3877787807814457e-17,49.8953391994895,-73.80450386780537,-6.090835331684116,-0.24149969301910743,0.45718533735636857,-0.21699382319835364
86,1.72,0.3004,0.0,0.3003999999999999,-9.71445146547012e-17,1.3877787807814457e-17,49.34739554347785,-72.76330021153996,-6.584095331937909,-0.243898581925803,0.4632368803696407,-0.22071883309547924
87,1.74,0.3018,0.0,0.30179999999999996,4.163336342344337e-17,2.7755575615628914e-17,48.79425706052927,-71.70851189204005,-7.0857451684892085,-0.24643130050988146,0.46956096508095047,-0.22458737559803071
88,1.76,0.3032,0.0,0.3032,7.632783294297951e-17,-1.3877787807814457e-17,48.235637337189154,-70.63953540333218,-7.596101933856973,-0.24910749421052497,0.47617858476123,-0.228611319922853
89,1.78,0.3046,0.0,0.3046,-9.71445146547012e-17,-1.3877787807814457e-17,47.67123005024942,-69.55572134205498,-8.11550870819447,-0.25193790317050024,0.4831130275116243,-0.2328038073785426
90,1.8,0.30600000000000005,0.0,0.30600000000000005,-2.7755575615628914e-17,0.0,47.100706761682325,-68.45636945851354,-8.644337303168788,-0.25493452267598454,0.4903902106252548,-0.23717943795496269
91,1.82,0.3074,0.0,0.30740000000000006,-1.3877787807814457e-16,-2.7755575615628914e-17,46.523714399460836,-67.34072299620999,-9.182991403250858,-0.2581107934765053,0.49803907634174066,-0.24175449114139108
92,1.84,0.3088,0.0,0.3088,-5.551115123125783e-17,-2.7755575615628914e-17,45.93987236730648,-66.20796219096715,-9.73191017633934,-0.26148182877470466,0.5060920627753019,-0.24654718866172737
93,1.86,0.31020000000000003,0.0,0.31020000000000003,-8.326672684688674e-17,-1.3877787807814457e-17,45.34876921380663,-65.05719677222665,-10.291572441579996,-0.26506468651830234,0.5145856674938698,-0.25157800887673887
94,1.8800000000000001,0.3116,0.0,0.3116,9.71445146547012e-17,0.0,44.74995877541297,-63.88745727301508,-10.862501502397901,-0.2688786980575588,0.5235611260870492,-0.2568700653155795
95,1.9000000000000001,0.313,0.0,0.31300000000000006,0.0,-1.3877787807814457e-17,44.142955687538326,-62.69768490909575,-11.445270778442564,-0.27294586746867916,0.5330652345117289,-0.26244956539829073
96,1.92,0.3144,0.0,0.31440000000000007,-2.0816681711721685e-17,-1.3877787807814457e-17,43.5272301319017,-61.48671972876172,-12.040510403139983,-0.2772913601961731,0.5431513526522314,-0.26834637023558316
97,1.94,0.31579999999999997,0.0,0.31579999999999986,4.85722573273506e-17,2.0816681711721685e-17,42.902201654495414,-60.25328665819603,-12.648914996299373,-0.28194410558173477,0.5538806382448472,-0.2745946829280314
98,1.96,0.31720000000000004,0.0,0.31720000000000004,0.0,0.0,42.26723184437873,-58.9959789672295,-13.271252877149225,-0.2869375459819514,0.5653235763644558,-0.28123390174026935
99,1.98,0.3186,0.0,0.3186,5.551115123125783e-17,0.0,41.621615605152876,-57.71323854808859,-13.90837705706426,-0.2902112895267952,0.5738754231305851,-0.28655973531247175
100,2.0,0.32,0.0,0.31999999999999995,-6.938893903907228e-17,-1.3877787807814457e-17,40.96457067305178,-56.40333222311683,-14.561238449934974,-0.2908991995837082,0.5765291921755417,-0.2884637271737073
