path,sample,radius_m,angle_deg,target_x_m,target_y_m,final_x_m,final_y_m,theta1_deg,theta2_deg,theta3_deg
quarter_circle_workspace,1997,0.319,4.0,-0.001777067967116075,-0.29774768487562403,-0.001777159846439988,-0.2977476794011922,45.93092911828333,-60.85263022858583,-8.663015048293449
quarter_circle_workspace,1998,0.319,3.0,-0.0014371784132909404,-0.30330482995850094,-0.001437271078860769,-0.3033048230075074,44.84099214257413,-60.095950202542895,-9.87395477541359
quarter_circle_workspace,1999,0.319,2.0,-0.0011943261809084782,-0.3088670605519022,-0.0011944218302880755,-0.3088670517862251,43.739817652671086,-59.32849131270216,-11.07838913733283
quarter_circle_workspace,2000,0.319,1.0,-0.0010485852451111999,-0.31443268234650656,-0.0010486845196938932,-0.31443267158073557,42.6269570208709,-58.546327300201284,-12.282532769150905
quarter_circle_workspace,2001,0.319,0.0,-0.0010000000000000009,-0.32,-0.0010000926539926874,-0.31999998889824355,41.49677769322886,-57.71482904002084,-13.538038964893321
quarter_circle_workspace,2002,0.318,0.0,-0.0020000000000000018,-0.32,-0.002000019080336715,-0.31999999859075107,41.87025482216573,-58.087242660896386,-13.900637634400333
quarter_circle_workspace,2003,0.318,1.0,-0.002048432940267575,-0.31445013475294387,-0.002048456905303364,-0.31445009051760525,42.881904838866795,-58.157744546115204,-13.795523681784479
quarter_circle_workspace,2004,0.318,2.0,-0.0021937170079275314,-0.3089019600486047,-0.0021937140086164264,-0.30890188854572453,43.92978588866673,-58.45240577310507,-13.354305017131571
quarter_circle_workspace,2005,0.318,3.0,-0.002435807948045543,-0.3033571659147439,-0.0024358206696647594,-0.30335708611371864,45.04889066824124,-59.22220593682991,-12.187252563861383
quarter_circle_workspace,2006,0.318,4.0,-0.002774632017375933,-0.29781744134936816,-0.0027746566515145232,-0.29781735653349833,46.160059148942,-60.00020898015962,-10.985692100292702
quarter_circle_workspace,2007,0.318,5.0,-0.0032100860068249304,-0.2922844738062447,-0.0032101194430376456,-0.29228438643027044,47.26106522268829,-60.77512238356835,-9.76571702321127
quarter_circle_workspace,2008,0.318,6.0,-0.003742037272889076,-0.2867599486808862,-0.003742077209745065,-0.2867598605157044,48.35066642203178,-61.53977111551092,-8.538004467938242
quarter_circle_workspace,2009,0.318,7.0,-0.004370323778059626,-0.2812455487971631,-0.004370368528418392,-0.28124546112689475,49.42823494576487,-62.289577939269286,-7.309789840072512
quarter_circle_workspace,2010,0.318,8.0,-0.005094754140180624,-0.2757429538946992,-0.005094802445776675,-0.2757428676642734,50.49352942076805,-63.02160230802243,-6.086129411445881
quarter_circle_workspace,2011,0.318,9.0,-0.005915107690746213,-0.2702538401172066,-0.005915158580234892,-0.27025375603460416,51.54655575671339,-63.733936445997614,-4.870705029572127
quarter_circle_workspace,2012,0.318,10.0,-0.006831134542117867,-0.26477987950191617,-0.006831187232461899,-0.2647797981059068,52.587483268454164,-64.4253285725669,-3.6663340046583
quarter_circle_workspace,2013,0.318,11.0,-0.007842555663642836,-0.25932273947025875,-0.007842609495508288,-0.25932266117408576,53.61659443324131,-65.09494948860956,-2.4752897690041
quarter_circle_workspace,2014,0.318,12.0,-0.008949062966649768,-0.2538840823199525,-0.008949117363952486,-0.25388400743914363,54.634254741712105,-65.74224886606582,-1.2995017948406722
quarter_circle_workspace,2015,0.318,13.0,-0.010150319398295193,-0.24846556471865094,-0.010150373843967747,-0.24846549348878244,55.640894329096746,-66.36686714206479,-0.14067904498615147
quarter_circle_workspace,2016,0.318,14.0,-0.011445959044233123,-0.24306883719930567,-0.01144601306648245,-0.24306876978765807,56.63699637503805,-66.96858154182169,0.9996145972226141
